mean_radius,mean_texture,mean_perimeter,mean_area
15.22,30.62,103.4,716.9
14.96,19.1,97.03,687.3
14.68,20.13,94.74,684.5
10.32,16.35,65.31,324.9
11.85,17.46,75.54,432.7
11.66,17.07,73.7,421.0
15.49,19.97,102.4,744.7
12.18,20.52,77.22,458.7
11.13,22.44,71.49,378.4
14.34,13.47,92.51,641.2
11.8,16.58,78.99,432.0
14.8,17.66,95.88,674.8
13.2,15.82,84.07,537.3
15.1,16.39,99.58,674.5
12.89,14.11,84.95,512.2
13.7,17.64,87.76,571.1
9.777,16.99,62.5,290.2
14.02,15.66,89.59,606.5
12.89,15.7,84.08,516.6
11.36,17.57,72.49,399.8
16.26,21.88,107.5,826.8
11.43,17.31,73.66,398.0
12.85,21.37,82.63,514.5
18.25,19.98,119.6,1040.0
19.44,18.82,128.1,1167.0
15.78,17.89,103.6,781.0
12.87,16.21,82.38,512.2
11.16,21.41,70.95,380.3
11.52,14.93,73.87,406.3
13.05,19.31,82.61,527.2
14.2,20.53,92.41,618.4
12.07,13.44,77.83,445.2
11.61,16.02,75.46,408.2
9.72,18.22,60.73,288.1
12.34,12.27,78.94,468.5
14.92,14.93,96.45,686.9
6.981,13.43,43.79,143.5
11.54,14.44,74.65,402.9
10.49,19.29,67.41,336.1
13.71,18.68,88.73,571.0
9.042,18.9,60.07,244.5
16.17,16.07,106.3,788.5
19.81,22.15,130.0,1260.0
17.47,24.68,116.1,984.6
13.3,21.57,85.24,546.1
18.66,17.12,121.4,1077.0
12.49,16.85,79.19,481.6
12.96,18.29,84.18,525.2
12.39,17.48,80.64,462.9
13.24,20.13,86.87,542.9
16.6,28.08,108.3,858.1
20.31,27.06,132.9,1288.0
11.45,20.97,73.81,401.5
8.196,16.84,51.71,201.9
13.4,20.52,88.64,556.7
16.27,20.71,106.9,813.7
13.45,18.3,86.6,555.1
16.25,19.51,109.8,815.8
13.34,15.86,86.49,520.0
14.6,23.29,93.97,664.7
10.97,17.2,71.73,371.5
19.8,21.56,129.7,1230.0
17.42,25.56,114.5,948.0
11.93,21.53,76.53,438.6
14.61,15.69,92.68,664.9
11.08,18.83,73.3,361.6
17.35,23.06,111.0,933.1
13.46,18.75,87.44,551.1
13.69,16.07,87.84,579.1
11.28,13.39,73.0,384.8
11.64,18.33,75.17,412.5
20.94,23.56,138.9,1364.0
12.47,18.6,81.09,481.9
12.56,19.07,81.92,485.8
12.36,21.8,79.78,466.1
10.08,15.11,63.76,317.5
11.6,18.36,73.88,412.7
12.1,17.72,78.07,446.2
9.667,18.49,61.49,289.1
20.26,23.03,132.4,1264.0
12.54,18.07,79.42,491.9
24.25,20.2,166.2,1761.0
8.597,18.6,54.09,221.2
12.42,15.04,78.61,476.5
21.16,23.04,137.2,1404.0
23.27,22.04,152.1,1686.0
15.85,23.95,103.7,782.7
14.9,22.53,102.1,685.0
8.598,20.98,54.66,221.8
10.8,21.98,68.79,359.9
21.71,17.25,140.9,1546.0
14.47,24.99,95.81,656.4
13.48,20.82,88.4,559.2
17.75,28.03,117.3,981.6
18.94,21.31,123.6,1130.0
15.04,16.74,98.73,689.4
13.96,17.05,91.43,602.4
11.6,12.84,74.34,412.6
13.59,21.84,87.16,561.0
9.847,15.68,63.0,293.2
12.87,19.54,82.67,509.2
9.668,18.1,61.06,286.3
15.75,19.22,107.1,758.6
13.94,13.17,90.31,594.2
13.27,17.02,84.55,546.4
20.34,21.51,135.9,1264.0
19.0,18.91,123.4,1138.0
25.22,24.91,171.5,1878.0
20.57,17.77,132.9,1326.0
13.17,18.22,84.28,537.3
18.61,20.25,122.1,1094.0
14.64,15.24,95.77,651.9
13.47,14.06,87.32,546.3
13.8,15.79,90.43,584.1
13.51,18.89,88.1,558.1
13.43,19.63,85.84,565.4
12.76,13.37,82.29,504.1
13.4,16.95,85.48,552.4
11.13,16.62,70.47,381.1
15.37,22.76,100.2,728.2
13.9,19.24,88.73,602.9
13.85,17.21,88.44,588.7
12.77,29.43,81.35,507.9
19.17,24.8,132.4,1123.0
12.05,22.72,78.75,447.8
7.76,24.54,47.92,181.0
9.606,16.84,61.64,280.5
14.22,27.85,92.55,623.9
15.5,21.08,102.9,803.1
13.66,19.13,89.46,575.3
9.268,12.87,61.49,248.7
19.53,18.9,129.5,1217.0
13.73,22.61,93.6,578.3
14.27,22.55,93.77,629.8
10.48,14.98,67.49,333.6
13.11,22.54,87.02,529.4
15.46,19.48,101.7,748.9
10.66,15.15,67.49,349.6
11.27,15.5,73.38,392.0
12.77,21.41,82.02,507.4
14.29,16.82,90.3,632.6
14.5,10.89,94.28,640.7
14.95,17.57,96.85,678.1
13.64,16.34,87.21,571.8
14.04,15.98,89.78,611.2
14.26,19.65,97.83,629.9
20.73,31.12,135.7,1419.0
7.729,25.49,47.98,178.8
21.75,20.99,147.3,1491.0
19.55,28.77,133.6,1207.0
18.82,21.97,123.7,1110.0
13.11,15.56,87.21,530.2
14.05,27.15,91.38,600.4
24.63,21.6,165.5,1841.0
17.08,27.15,111.2,930.9
17.05,19.08,113.4,895.0
11.15,13.08,70.87,381.9
11.06,17.12,71.25,366.5
18.49,17.52,121.3,1068.0
12.72,13.78,81.78,492.1
13.0,20.78,83.51,519.4
16.5,18.29,106.6,838.1
12.34,22.22,79.85,464.5
16.78,18.8,109.3,886.3
20.2,26.83,133.7,1234.0
9.876,17.27,62.92,295.4
11.81,17.39,75.27,428.9
11.9,14.65,78.11,432.8
23.51,24.27,155.1,1747.0
10.44,15.46,66.62,329.6
12.46,12.83,78.83,477.3
12.72,17.67,80.98,501.3
21.1,20.52,138.1,1384.0
14.26,18.17,91.22,633.1
12.54,16.32,81.25,476.3
20.64,17.35,134.8,1335.0
11.95,14.96,77.23,426.7
16.14,14.86,104.3,800.0
8.671,14.45,54.42,227.2
11.74,14.69,76.31,426.0
18.03,16.85,117.5,990.0
12.83,22.33,85.26,503.2
10.26,14.71,66.2,321.6
19.16,26.6,126.2,1138.0
20.44,21.78,133.8,1293.0
12.62,23.97,81.35,496.4
13.61,24.98,88.05,582.7
14.41,19.73,96.03,651.0
20.59,21.24,137.8,1320.0
18.22,18.7,120.3,1033.0
15.0,15.51,97.45,684.5
10.82,24.21,68.89,361.6
20.6,29.33,140.1,1265.0
13.15,15.34,85.31,538.9
11.5,18.45,73.28,407.4
11.89,17.36,76.2,435.6
12.06,12.74,76.84,448.6
11.29,13.04,72.23,388.0
13.17,21.81,85.42,531.5
11.51,23.93,74.52,403.5
10.51,20.19,68.64,334.2
14.06,17.18,89.75,609.1
11.84,18.94,75.51,428.0
22.27,19.67,152.8,1509.0
10.25,16.18,66.52,324.2
14.97,16.95,96.22,685.9
12.86,18.0,83.19,506.3
11.76,21.6,74.72,427.9
12.0,15.65,76.95,443.3
13.0,21.82,87.5,519.8
17.02,23.98,112.8,899.3
14.42,19.77,94.48,642.5
11.34,21.26,72.48,396.5
15.46,23.95,103.8,731.3
16.03,15.51,105.8,793.2
10.18,17.53,65.12,313.1
15.3,25.27,102.4,732.4
12.89,13.12,81.89,515.9
9.755,28.2,61.68,290.9
11.52,18.75,73.34,409.0
17.68,20.74,117.4,963.7
12.45,16.41,82.85,476.7
20.92,25.09,143.0,1347.0
11.7,19.11,74.33,418.7
12.05,14.63,78.04,449.3
14.81,14.7,94.66,680.7
13.85,19.6,88.68,592.6
19.27,26.47,127.9,1162.0
16.74,21.59,110.1,869.5
12.98,19.35,84.52,514.0
9.173,13.86,59.2,260.9
14.87,20.21,96.12,680.9
12.86,13.32,82.82,504.8
21.37,15.1,141.3,1386.0
13.68,16.33,87.76,575.5
9.567,15.91,60.21,279.6
20.13,28.25,131.2,1261.0
19.68,21.68,129.9,1194.0
18.65,17.6,123.7,1076.0
10.49,18.61,66.86,334.3
16.69,20.2,107.1,857.6
16.46,20.11,109.3,832.9
19.53,32.47,128.0,1223.0
12.27,29.97,77.42,465.4
10.91,12.35,69.14,363.7
9.504,12.44,60.34,273.9
10.65,25.22,68.01,347.0
9.423,27.88,59.26,271.3
12.67,17.3,81.25,489.9
13.05,13.84,82.71,530.6
14.45,20.22,94.49,642.7
11.43,15.39,73.06,399.8
16.65,21.38,110.0,904.6
15.28,22.41,98.92,710.6
15.12,16.68,98.78,716.6
18.45,21.91,120.2,1075.0
10.51,23.09,66.85,334.2
8.95,15.76,58.74,245.2
28.11,18.47,188.5,2499.0
9.683,19.34,61.05,285.7
9.333,21.94,59.01,264.0
11.26,19.83,71.3,388.1
9.397,21.68,59.75,268.8
11.32,27.08,71.76,395.7
10.94,18.59,70.39,370.0
10.2,17.48,65.05,321.2
19.21,18.57,125.5,1152.0
18.22,18.87,118.7,1027.0
17.85,13.23,114.6,992.1
13.0,25.13,82.61,520.2
11.69,24.44,76.37,406.4
14.42,16.54,94.15,641.2
21.09,26.57,142.7,1311.0
9.787,19.94,62.11,294.5
8.726,15.83,55.84,230.9
12.8,17.46,83.05,508.3
13.59,17.84,86.24,572.3
15.78,22.91,105.7,782.6
10.16,19.59,64.73,311.7
12.32,12.39,78.85,464.1
11.93,10.91,76.14,442.7
19.55,23.21,128.9,1174.0
8.571,13.1,54.53,221.3
15.1,22.02,97.26,712.8
9.904,18.06,64.6,302.4
12.03,17.93,76.09,446.0
14.86,23.21,100.4,671.4
19.18,22.49,127.5,1148.0
17.27,25.42,112.4,928.8
25.73,17.46,174.2,2010.0
15.7,20.31,101.2,766.6
12.22,20.04,79.47,453.1
11.14,14.07,71.24,384.6
9.876,19.4,63.95,298.3
13.65,13.16,87.88,568.9
12.19,13.29,79.08,455.8
15.08,25.74,98.0,716.6
15.19,13.21,97.65,711.8
10.05,17.53,64.41,310.8
11.87,21.54,76.83,432.0
10.17,14.88,64.55,311.9
15.06,19.83,100.3,705.6
12.34,26.86,81.15,477.4
9.738,11.97,61.24,288.5
13.16,20.54,84.06,538.7
14.44,15.18,93.97,640.1
23.29,26.67,158.9,1685.0
9.731,15.34,63.78,300.2
13.46,28.21,85.89,562.1
8.734,16.84,55.27,234.3
18.77,21.43,122.9,1092.0
11.27,12.96,73.16,386.3
9.676,13.14,64.12,272.5
16.02,23.24,102.7,797.8
10.71,20.39,69.5,344.9
12.18,17.84,77.79,451.1
20.58,22.14,134.7,1290.0
13.64,15.6,87.38,575.3
14.71,21.59,95.55,656.9
12.0,28.23,76.77,442.5
12.46,19.89,80.43,471.3
10.88,15.62,70.41,358.9
9.436,18.32,59.82,278.6
14.25,21.72,93.63,633.0
18.63,25.11,124.8,1088.0
13.08,15.71,85.63,520.0
11.75,17.56,75.89,422.9
11.22,19.86,71.94,387.3
16.07,19.65,104.1,817.7
12.23,19.56,78.54,461.0
18.05,16.15,120.2,1006.0
15.61,19.38,100.0,758.6
13.81,23.75,91.56,597.8
13.74,17.91,88.12,585.0
12.83,15.73,82.89,506.9
13.53,10.94,87.91,559.2
19.69,21.25,130.0,1203.0
13.87,20.7,89.77,584.8
11.62,18.18,76.38,408.8
11.94,18.24,75.71,437.6
17.29,22.13,114.4,947.8
27.42,26.27,186.9,2501.0
17.3,17.08,113.0,928.2
13.28,13.72,85.79,541.8
15.53,33.56,103.7,744.9
11.25,14.78,71.38,390.0
22.01,21.9,147.2,1482.0
20.16,19.66,131.1,1274.0
11.41,14.92,73.53,402.0
8.219,20.7,53.27,203.9
11.89,18.35,77.32,432.2
9.405,21.7,59.6,271.2
20.09,23.86,134.7,1247.0
14.22,23.12,94.37,609.9
12.31,16.52,79.19,470.9
11.47,16.03,73.02,402.7
13.75,23.77,88.54,590.0
13.38,30.72,86.34,557.2
11.2,29.37,70.67,386.0
19.02,24.59,122.0,1076.0
17.46,39.28,113.4,920.6
12.9,15.92,83.74,512.2
18.31,20.58,120.8,1052.0
10.6,18.95,69.28,346.4
12.7,12.17,80.88,495.0
11.26,19.96,73.72,394.1
11.71,16.67,74.72,423.6
10.8,9.71,68.77,357.6
19.1,26.29,129.1,1132.0
20.47,20.67,134.7,1299.0
12.25,17.94,78.27,460.3
13.05,18.59,85.09,512.0
11.04,14.93,70.67,372.7
13.85,15.18,88.99,587.4
13.61,24.69,87.76,572.6
15.34,14.26,102.5,704.4
19.4,18.18,127.2,1145.0
12.04,28.14,76.85,449.9
12.21,18.02,78.31,458.4
17.14,16.4,116.0,912.7
13.77,22.29,90.63,588.9
12.68,23.84,82.69,499.0
14.54,27.54,96.73,658.8
13.14,20.74,85.98,536.9
11.76,18.14,75.0,431.1
12.99,14.23,84.08,514.3
14.58,21.53,97.41,644.8
13.28,20.28,87.32,545.2
12.47,17.31,80.45,480.1
11.34,18.61,72.76,391.2
13.21,28.06,84.88,538.4
12.62,17.15,80.62,492.9
13.88,16.16,88.37,596.6
8.888,14.64,58.79,244.0
11.63,29.29,74.87,415.1
12.4,17.68,81.47,467.8
17.19,22.07,111.6,928.3
15.27,12.91,98.17,725.5
12.18,14.08,77.25,461.4
14.58,13.66,94.29,658.8
11.54,10.72,73.73,409.1
10.96,17.62,70.79,365.6
12.43,17.0,78.6,477.3
13.71,20.83,90.2,577.9
21.61,22.28,144.4,1407.0
16.11,18.05,105.1,813.0
14.48,21.46,94.25,648.2
11.49,14.59,73.99,404.9
23.09,19.83,152.1,1682.0
13.86,16.93,90.96,578.9
11.06,14.83,70.31,378.2
12.25,22.44,78.18,466.5
19.73,19.82,130.7,1206.0
17.6,23.33,119.0,980.5
13.87,16.21,88.52,593.7
19.45,19.33,126.5,1169.0
11.33,14.16,71.79,396.6
13.01,22.22,82.01,526.4
11.74,14.02,74.24,427.3
10.26,12.22,65.75,321.6
16.3,15.7,104.7,819.8
19.79,25.12,130.4,1192.0
10.75,14.97,68.26,355.3
17.2,24.52,114.2,929.4
14.03,21.25,89.79,603.4
13.03,18.42,82.61,523.8
